feature,importance_gain,importance_split
home_avg_runs_allowed_60,7227.35779094696,252
home_runs_against_30,5456.079315662384,236
home_lineup_skill,3861.0815345048904,301
home_sp_ra9_last5,3624.495082616806,269
away_avg_runs_allowed_60,3334.6268919706345,254
away_avg_runs_scored_60,3162.128100991249,240
home_vs_away_sp_matchup,3065.850258588791,256
away_lineup_skill,3064.4264199733734,252
away_sp_ra9_last5,2772.5316393971443,247
home_sp_ip_per_start_last5,2747.6490128040314,225
lineup_skill_diff,2728.274938941002,244
away_vs_home_sp_matchup,2570.4650831222534,220
matchup_diff,2402.7765061855316,224
home_avg_runs_scored_60,2331.6814491152763,206
away_runs_for_30,2163.474235534668,176
away_win_pct_30,2116.920956134796,114
away_runs_against_30,1973.085647702217,158
away_sp_ip_per_start_last5,1937.2783544063568,172
home_runs_for_30,1797.6947979927063,166
home_bp_outs_5d,1748.4637305736542,159
home_bp_outs_3d,1286.0547952651978,116
away_bp_outs_5d,1254.2998008728027,124
away_bp_outs_3d,1031.5167028903961,100
home_bp_hlev_outs_5d,955.0349080562592,89
away_bp_hlev_outs_5d,922.2133111953735,96
home_bp_outs_1d,914.4764913320541,84
home_games_in_window_60,814.1838760375977,65
away_bp_hlev_outs_3d,793.9923515319824,76
home_bp_hlev_outs_3d,781.8186693191528,77
away_games_in_window_60,757.2392191886902,63
away_bp_hlev_outs_1d,688.5113008022308,66
home_win_pct_30,670.2770113945007,61
away_bp_outs_1d,652.5394630432129,63
home_bp_hlev_outs_1d,555.3402080535889,50
