feature,importance_gain,importance_split
away_avg_runs_allowed_60,4524.123020887375,213
home_avg_runs_scored_60,4380.321430206299,204
away_sp_ip_per_start_last5,3299.5088772773743,223
away_lineup_skill,3022.0340914726257,197
home_runs_for_30,2753.7139415740967,170
away_runs_against_30,2384.5974159240723,114
home_lineup_skill,2243.1943254470825,181
away_vs_home_sp_matchup,2088.1156227588654,167
away_sp_ra9_last5,2043.6984530687332,170
away_avg_runs_scored_60,1798.4729056358337,152
home_sp_ra9_last5,1773.6721308231354,157
lineup_skill_diff,1728.1208748817444,147
home_vs_away_sp_matchup,1673.8459105491638,143
away_runs_for_30,1624.9188890457153,136
home_sp_ip_per_start_last5,1590.8213591575623,137
matchup_diff,1557.6000638008118,141
home_avg_runs_allowed_60,1475.1065390110016,128
away_win_pct_30,1424.6763844490051,77
home_runs_against_30,1052.1230554580688,96
away_bp_outs_5d,1031.351615190506,88
home_bp_hlev_outs_5d,976.5067801475525,93
away_bp_hlev_outs_5d,921.195999622345,79
home_bp_outs_1d,882.2628803253174,77
home_bp_outs_3d,799.6539340019226,76
away_bp_outs_3d,789.4098792076111,71
home_games_in_window_60,670.218671798706,50
home_bp_outs_5d,660.3379867076874,64
home_win_pct_30,644.9850916862488,51
home_bp_hlev_outs_3d,636.5195908546448,57
away_bp_outs_1d,516.4694414138794,49
away_bp_hlev_outs_3d,481.5948705673218,42
away_games_in_window_60,465.33463764190674,35
away_bp_hlev_outs_1d,412.4663887023926,39
home_bp_hlev_outs_1d,174.9368896484375,19
